"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1059683","R-HSA-1059683","Interleukin-6 signaling","7/1871","11/11287",0.636363636363636,3.83892910937272,4.19901135163351,0.000603631026594743,0.00385429588833088,0.00385429588833088,"867/3569/5781/6774/6772/3570/9021",7
"R-HSA-9711123","R-HSA-9711123","Cellular response to chemical stress","51/1871","198/11287",0.257575757575758,1.55385225855563,3.50472564357045,0.000613754941156463,0.00390447792824259,0.00390447792824259,"8841/81631/207/79594/80205/5693/5704/10061/4609/1026/5714/114548/318/81502/208/8878/6647/5034/2950/5717/8945/1350/4851/54205/55666/6667/4512/6774/10935/5688/23657/4697/5707/10628/2033/598/5465/6256/5705/7311/4363/83667/596/1029/25942/11047/5684/10499/1457/9861/672",51
"R-HSA-9659787","R-HSA-9659787","Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects","9/1871","17/11287",0.529411764705882,3.19373093973025,4.03477717115177,0.000629706248455276,0.0039239824595903,0.0039239824595903,"1026/1870/894/1871/1021/1869/1019/1027/595",9
"R-HSA-9661069","R-HSA-9661069","Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)","9/1871","17/11287",0.529411764705882,3.19373093973025,4.03477717115177,0.000629706248455276,0.0039239824595903,0.0039239824595903,"1026/1870/894/1871/1021/1869/1019/1027/595",9
"R-HSA-9617828","R-HSA-9617828","FOXO-mediated transcription of cell cycle genes","9/1871","17/11287",0.529411764705882,3.19373093973025,4.03477717115177,0.000629706248455276,0.0039239824595903,0.0039239824595903,"4088/1026/9314/2308/4089/1027/694/4087/857",9
"R-HSA-9754189","R-HSA-9754189","Germ layer formation at gastrulation","9/1871","17/11287",0.529411764705882,3.19373093973025,4.03477717115177,0.000629706248455276,0.0039239824595903,0.0039239824595903,"4088/51592/83881/4089/51176/79923/5460/4087/6657",9
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","29/1871","96/11287",0.302083333333333,1.82234878852663,3.60687355289602,0.00063027094458475,0.0039239824595903,0.0039239824595903,"27327/861/333932/3516/8357/23112/8850/3021/8338/1871/4851/7157/1869/2648/8351/192669/2033/85236/8331/27161/26523/595/8358/554313/3017/8337/8370/8349/8343",29
"R-HSA-166016","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","40/1871","146/11287",0.273972602739726,1.65276791401565,3.53872514195322,0.00063047746015459,0.0039239824595903,0.0039239824595903,"6416/4205/4214/9252/5608/9261/148022/5606/51135/79155/948/4791/3146/695/8945/6197/7157/5599/6195/3654/5781/351/1432/8651/3551/5594/7311/1848/5595/114609/1385/1386/5519/7323/23118/2002/7097/5515/653509/5775",40
"R-HSA-5673001","R-HSA-5673001","RAF/MAP kinase cascade","65/1871","267/11287",0.243445692883895,1.46861118951391,3.45422942735721,0.000640727108711438,0.00397342998351985,0.00397342998351985,"5921/2668/54756/5894/7529/3845/2255/5693/5704/7094/5714/5529/4763/5908/6711/4893/1956/5906/60/5717/9986/5527/4296/8660/10818/5296/4254/255324/8682/1839/5688/9693/5295/2064/5707/598/5594/10434/3667/5705/673/7311/1848/2066/4684/71/5595/2339/409/8844/808/5519/4233/58489/23463/11047/5684/801/6712/9861/23179/2069/2885/5515/3815",65
"R-HSA-6804760","R-HSA-6804760","Regulation of TP53 Activity through Methylation","8/1871","14/11287",0.571428571428571,3.44720164923265,4.08401861366957,0.000655749041328135,0.0040375405258918,0.0040375405258918,"387893/472/7157/4193/2033/7311/11200/4194",8
"R-HSA-8849471","R-HSA-8849471","PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases","8/1871","14/11287",0.571428571428571,3.44720164923265,4.08401861366957,0.000655749041328135,0.0040375405258918,0.0040375405258918,"5829/5921/3845/1398/4893/387/63916/2909",8
"R-HSA-9696273","R-HSA-9696273","RND1 GTPase cycle","16/1871","42/11287",0.380952380952381,2.29813443282177,3.75697475456183,0.000671035326730366,0.00411695695118559,0.00411695695118559,"1362/22800/7037/394/10818/5296/2319/9528/5295/1969/9231/57498/9352/2909/224/857",16
"R-HSA-2682334","R-HSA-2682334","EPH-Ephrin signaling","28/1871","92/11287",0.304347826086957,1.83600957404782,3.58894503855185,0.000680359546481336,0.00415936119905611,0.00415936119905611,"10092/998/5921/1173/163/10451/6093/387/60/10552/4318/7525/51107/4313/1969/1175/5062/79784/4627/64283/71/1072/102/1944/103910/7410/8976/5058",28
"R-HSA-186797","R-HSA-186797","Signaling by PDGF","20/1871","58/11287",0.344827586206897,2.08020789177832,3.67641469612895,0.000685505982456313,0.00417601524294941,0.00417601524294941,"2889/5921/3845/1398/1282/4893/1289/5045/80310/5296/5781/6774/5295/6772/7057/7058/6777/6778/1284/2885",20
"R-HSA-3214847","R-HSA-3214847","HATs acetylate histones","39/1871","142/11287",0.274647887323944,1.65684163774738,3.51106203517001,0.000695143137427784,0.00421981256663909,0.00421981256663909,"55689/9575/7994/10943/26009/79960/333932/284058/85235/8357/80314/5077/8850/60/8338/6314/8295/440689/3054/55140/2648/8351/8607/10445/56970/2033/85236/8520/8331/1386/8358/554313/9767/3017/10499/8337/8370/8349/8343",39
"R-HSA-72165","R-HSA-72165","mRNA Splicing - Minor Pathway","18/1871","50/11287",0.36,2.17173703901657,3.70137989690204,0.000700572412388158,0.00423784855774451,0.00423784855774451,"10262/6432/23451/23020/9343/10907/23450/5432/6426/22916/10594/5441/55954/11325/6628/2962/10992/6634",18
"R-HSA-168138","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","32/1871","110/11287",0.290909090909091,1.75493902142753,3.54665776125855,0.00070458237626108,0.00424720285550385,0.00424720285550385,"6416/4205/4214/9252/5608/9261/148022/5606/51135/79155/4791/3146/64145/8945/6197/7157/5599/6195/3654/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/23118/2002/5515",32
"R-HSA-9845323","R-HSA-9845323","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)","29/1871","97/11287",0.298969072164948,1.80356168761399,3.54293951274885,0.000759195094499568,0.00456046112514723,0.00456046112514723,"6603/9112/57459/3066/333932/9219/5928/8357/60/3021/8338/6595/8289/9275/8351/85236/8331/143689/53615/1108/605/8358/554313/3017/8337/8370/1788/8349/8343",29
"R-HSA-452723","R-HSA-452723","Transcriptional regulation of pluripotent stem cells","11/1871","24/11287",0.458333333333333,2.76494298948869,3.8581841463053,0.000764156006414638,0.00457432276062096,0.00457432276062096,"9314/64344/2034/6774/4089/27086/79923/5460/6299/4087/6657",11
"R-HSA-72766","R-HSA-72766","Translation","83/1871","360/11287",0.230555555555556,1.39085010986401,3.35957784813388,0.000781343986276329,0.00466102779356537,0.00466102779356537,"7965/3035/10952/6210/6157/8668/6134/6201/27068/6734/5693/5704/64983/16/4141/5714/28977/2058/6204/327/6146/6136/54516/4508/6746/5717/4540/23107/51253/63875/8662/1964/6182/6142/1915/6218/8663/55666/6154/1977/6187/51073/6147/4512/4519/9801/5688/51386/6729/6222/64965/1974/1938/5707/10480/54938/6132/6188/5705/6124/6133/7311/6122/10056/26986/55168/6192/64981/8565/92399/1975/7458/6203/11047/7323/5684/6227/2107/6176/9861/1933/26046/29927",83
"R-HSA-5628897","R-HSA-5628897","TP53 Regulates Metabolic Genes","26/1871","84/11287",0.30952380952381,1.86723422666768,3.5561705120385,0.000787189416034656,0.00467970535601292,0.00467970535601292,"27327/207/7529/2821/208/7248/23112/7531/143686/1350/7534/57103/7157/54205/4512/4697/10971/192669/2475/83667/27161/26523/58528/5562/64121/5728",26
"R-HSA-8953750","R-HSA-8953750","Transcriptional Regulation by E2F6","14/1871","35/11287",0.4,2.41304115446285,3.73205179961438,0.000816995061895284,0.00482362837913517,0.00482362837913517,"2146/5928/80314/1876/5932/5888/1111/1869/23512/11335/6241/23468/4149/672",14
"R-HSA-9709570","R-HSA-9709570","Impaired BRCA2 binding to RAD51","14/1871","35/11287",0.4,2.41304115446285,3.73205179961438,0.000816995061895284,0.00482362837913517,0.00482362837913517,"472/5984/5932/641/5888/6118/6117/80010/5985/675/9156/4361/580/672",14
"R-HSA-9909396","R-HSA-9909396","Circadian clock","32/1871","111/11287",0.288288288288288,1.73912875997323,3.48828600776872,0.000835573932273708,0.00489976006544175,0.00489976006544174,"8841/9575/4297/80205/6095/5693/5704/5714/6720/28999/5717/56938/8945/8864/5688/5707/2033/1454/5465/6256/5705/7311/4209/5054/1385/1386/11047/150094/5684/10499/1457/9861",32
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","32/1871","111/11287",0.288288288288288,1.73912875997323,3.48828600776872,0.000835573932273708,0.00489976006544175,0.00489976006544174,"1032/1026/333932/64682/8357/11065/27338/3569/3021/8338/6197/1021/6195/6774/8351/5594/85236/890/7311/8331/1019/1027/5595/1029/8358/554313/3017/8337/1051/8370/8349/8343",32
"R-HSA-72702","R-HSA-72702","Ribosomal scanning and start codon recognition","20/1871","59/11287",0.338983050847458,2.04495013090072,3.58710476074473,0.000877857061221163,0.00513025618150944,0.00513025618150944,"6210/8668/6201/6204/8662/1964/6218/8663/1977/6187/51386/6222/1974/10480/6188/6192/1975/7458/6203/6227",20
"R-HSA-975956","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","27/1871","89/11287",0.303370786516854,1.83011548231733,3.50458806336385,0.000888659054841,0.0051758385491415,0.0051758385491415,"6210/6157/6134/6201/6204/6146/6136/22916/6142/6218/6154/6187/6147/6222/6132/6188/6124/6133/7311/6122/26986/6192/6203/5976/6227/2107/6176",27
"R-HSA-1655829","R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","19/1871","55/11287",0.345454545454545,2.08399008794519,3.59212797083082,0.000902335564053429,0.00518169559923786,0.00518169559923786,"2194/80205/6720/57678/31/10484/8720/6667/5901/51128/3156/3157/7108/5465/6256/3638/6319/3422/10499",19
"R-HSA-9656223","R-HSA-9656223","Signaling by RAF1 mutants","16/1871","43/11287",0.372093023255814,2.24468944601196,3.6450921181556,0.000906294664768748,0.00518169559923786,0.00518169559923786,"5894/7529/3845/7094/5908/4893/5906/60/5594/673/71/5595/409/8844/808/801",16
"R-HSA-168181","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","31/1871","107/11287",0.289719626168224,1.7477634529988,3.46424751434254,0.000913300271355588,0.00518169559923786,0.00518169559923786,"6416/4205/4214/9252/5608/9261/148022/5606/51135/79155/4791/3146/8945/6197/7157/5599/6195/3654/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/23118/2002/5515",31
"R-HSA-180786","R-HSA-180786","Extension of Telomeres","18/1871","51/11287",0.352941176470588,2.12915395982017,3.60251731174253,0.000917274187058781,0.00518169559923786,0.00518169559923786,"23243/2237/5984/641/80169/6118/6117/7015/5424/8607/5422/890/5985/54921/5557/63922/5111/79075",18
"R-HSA-5651801","R-HSA-5651801","PCNA-Dependent Long Patch Base Excision Repair","10/1871","21/11287",0.476190476190476,2.87266804102721,3.82876987823369,0.000919305796628672,0.00518169559923786,0.00518169559923786,"5427/2237/5984/5426/6118/6117/5424/5985/328/5111",10
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","10/1871","21/11287",0.476190476190476,2.87266804102721,3.82876987823369,0.000919305796628672,0.00518169559923786,0.00518169559923786,"1956/8829/5594/3680/4684/5595/1457/7410/3678/5058",10
"R-HSA-6802946","R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants","17/1871","47/11287",0.361702127659574,2.18200529924833,3.61958590831419,0.000919720912625745,0.00518169559923786,0.00518169559923786,"5894/7529/3845/7094/5908/4893/5906/60/4296/5594/673/71/5595/409/8844/808/801",17
"R-HSA-6802949","R-HSA-6802949","Signaling by RAS mutants","17/1871","47/11287",0.361702127659574,2.18200529924833,3.61958590831419,0.000919720912625745,0.00518169559923786,0.00518169559923786,"5894/7529/3845/7094/5908/4893/5906/60/4296/5594/673/71/5595/409/8844/808/801",17
"R-HSA-6802955","R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF","17/1871","47/11287",0.361702127659574,2.18200529924833,3.61958590831419,0.000919720912625745,0.00518169559923786,0.00518169559923786,"5894/7529/3845/7094/5908/4893/5906/60/4296/5594/673/71/5595/409/8844/808/801",17
"R-HSA-9649948","R-HSA-9649948","Signaling downstream of RAS mutants","17/1871","47/11287",0.361702127659574,2.18200529924833,3.61958590831419,0.000919720912625745,0.00518169559923786,0.00518169559923786,"5894/7529/3845/7094/5908/4893/5906/60/4296/5594/673/71/5595/409/8844/808/801",17
"R-HSA-9013694","R-HSA-9013694","Signaling by NOTCH4","23/1871","72/11287",0.319444444444444,1.92708147752242,3.51769519305495,0.000956961971757991,0.00535650142633369,0.00535650142633369,"4088/207/182/5693/5704/5714/3516/8850/5717/7534/4851/51107/2648/5688/5707/2033/5705/7311/10460/102/11047/5684/9861",23
"R-HSA-199992","R-HSA-199992","trans-Golgi Network Vesicle Budding","23/1871","72/11287",0.319444444444444,1.92708147752242,3.51769519305495,0.000956961971757991,0.00535650142633369,0.00535650142633369,"51429/1362/9146/9685/2512/64746/6272/27131/7037/8729/134829/351/9698/23557/164/25977/388552/4952/5878/2580/8673/10618/3482",23
"R-HSA-73886","R-HSA-73886","Chromosome Maintenance","38/1871","140/11287",0.271428571428571,1.63742078338551,3.3828670412949,0.00102955394814777,0.00574417801490861,0.00574417801490861,"23243/5928/2237/51773/5984/4869/3021/5432/8338/641/5441/80169/6118/55166/6117/7015/5424/8607/85236/5422/890/5985/55839/8331/54921/5557/63922/554313/5111/79019/3017/79682/8337/8370/79075/11339/8349/8343",38
"R-HSA-1169410","R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","42/1871","159/11287",0.264150943396226,1.59351774351321,3.35967604201687,0.00104653161487238,0.00582006614206448,0.00582006614206448,"81929/2316/9470/5608/23225/3305/60/983/4869/9818/10381/5045/7157/1977/5771/2189/9883/80233/6774/3840/1974/3551/79023/3304/53371/8086/6772/57697/348995/7311/5903/10376/71/5595/2339/5519/57506/2178/8021/2175/3838/5515",42
"R-HSA-373755","R-HSA-373755","Semaphorin interactions","21/1871","64/11287",0.328125,1.97944782202031,3.50259966800739,0.00106603770640522,0.0058837571610834,0.0058837571610834,"7094/3320/1809/6093/387/10154/8829/23396/388/2064/8851/5062/79784/4627/3326/1072/4233/103910/2909/23129/5058",21
"R-HSA-9703465","R-HSA-9703465","Signaling by FLT3 fusion proteins","9/1871","18/11287",0.5,3.01630144307857,3.81612608915424,0.00107504843720491,0.0058837571610834,0.0058837571610834,"3845/1026/6711/4893/7750/5295/399687/6777/2885",9
"R-HSA-446353","R-HSA-446353","Cell-extracellular matrix interactions","9/1871","18/11287",0.5,3.01630144307857,3.81612608915424,0.00107504843720491,0.0058837571610834,0.0058837571610834,"5829/2316/87/60/7408/54751/55679/71/3611",9
"R-HSA-9824594","R-HSA-9824594","Regulation of MITF-M-dependent genes involved in apoptosis","9/1871","18/11287",0.5,3.01630144307857,3.81612608915424,0.00107504843720491,0.0058837571610834,0.0058837571610834,"27327/4286/23112/23405/192669/27161/26523/596/25942",9
"R-HSA-210993","R-HSA-210993","Tie2 Signaling","9/1871","18/11287",0.5,3.01630144307857,3.81612608915424,0.00107504843720491,0.0058837571610834,0.0058837571610834,"3845/4893/5296/5781/51378/285/5295/9046/2885",9
"R-HSA-9679191","R-HSA-9679191","Potential therapeutics for SARS","29/1871","99/11287",0.292929292929293,1.76712609796522,3.41728986172338,0.00108767584463423,0.00593402897515636,0.00593402897515636,"9112/7422/23186/1173/476/163/57459/3066/3320/6093/9219/5928/695/1901/5045/51742/5978/2908/1175/3614/3326/2288/3570/2339/53615/1108/203068/2885/30011",29
"R-HSA-3108214","R-HSA-3108214","SUMOylation of DNA damage response and repair proteins","24/1871","77/11287",0.311688311688312,1.88029180867235,3.45495908576053,0.00110561724420828,0.00601288368774471,0.00601288368774471,"10735/81929/165918/8243/57332/23225/9818/9126/641/9883/6117/79023/53371/8086/9063/348995/5893/5371/5903/1029/8021/8924/142/672",24
"R-HSA-9711097","R-HSA-9711097","Cellular response to starvation","40/1871","150/11287",0.266666666666667,1.60869410297524,3.3452941095895,0.00111843274388352,0.00606345298885277,0.00606345298885277,"144577/81929/23677/529/6210/6157/6134/6201/6204/6146/528/6136/526/6142/23334/6218/6154/6187/10985/6147/6222/9114/6132/6188/2475/6124/6133/7311/6122/83667/6192/58528/1386/1054/64121/6203/6227/6176/1051/8992",40
"R-HSA-6802948","R-HSA-6802948","Signaling by high-kinase activity BRAF mutants","14/1871","36/11287",0.388888888888889,2.34601223350555,3.60560698927013,0.00113532950594103,0.00609753292287332,0.00609753292287332,"5894/7529/3845/7094/5908/4893/5906/60/5594/673/71/5595/409/8844",14
"R-HSA-177243","R-HSA-177243","Interactions of Rev with host cellular proteins","14/1871","36/11287",0.388888888888889,2.34601223350555,3.60560698927013,0.00113532950594103,0.00609753292287332,0.00609753292287332,"81929/23225/4869/9818/7514/5901/9883/79023/53371/8086/348995/5903/1104/8021",14
"R-HSA-1266695","R-HSA-1266695","Interleukin-7 signaling","14/1871","36/11287",0.388888888888889,2.34601223350555,3.60560698927013,0.00113532950594103,0.00609753292287332,0.00609753292287332,"54014/333932/8357/8503/8660/5296/8835/6774/8351/5295/8651/3667/6777/8358",14
"R-HSA-8948751","R-HSA-8948751","Regulation of PTEN stability and activity","19/1871","56/11287",0.339285714285714,2.04677597923189,3.50035619169468,0.00115668868649024,0.00611089270781605,0.00611089270781605,"207/8975/5693/5704/5714/208/5717/8658/331/5688/5707/5705/7311/81847/5728/11047/5684/1457/9861",19
"R-HSA-432722","R-HSA-432722","Golgi Associated Vesicle Biogenesis","19/1871","56/11287",0.339285714285714,2.04677597923189,3.50035619169468,0.00115668868649024,0.00611089270781605,0.00611089270781605,"51429/1362/9685/2512/64746/6272/27131/7037/9698/23557/164/25977/388552/4952/5878/2580/8673/10618/3482",19
"R-HSA-2151201","R-HSA-2151201","Transcriptional activation of mitochondrial biogenesis","19/1871","56/11287",0.339285714285714,2.04677597923189,3.50035619169468,0.00115668868649024,0.00611089270781605,0.00611089270781605,"8841/80205/211/506/133522/54205/2746/3054/5465/2101/6256/4209/1385/1386/808/801/84808/10499/51106",19
"R-HSA-9734009","R-HSA-9734009","Defective Intrinsic Pathway for Apoptosis","11/1871","25/11287",0.44,2.65434526990914,3.69115335191004,0.00116187378943917,0.00611089270781605,0.00611089270781605,"826/994/7531/7157/708/10018/351/8851/993/1029/4001",11
"R-HSA-110373","R-HSA-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","11/1871","25/11287",0.44,2.65434526990914,3.69115335191004,0.00116187378943917,0.00611089270781605,0.00611089270781605,"5427/2237/5984/5426/6118/6117/5424/5985/328/5111/142",11
"R-HSA-9664565","R-HSA-9664565","Signaling by ERBB2 KD Mutants","11/1871","25/11287",0.44,2.65434526990914,3.69115335191004,0.00116187378943917,0.00611089270781605,0.00611089270781605,"11140/3845/3320/4893/1956/1839/5295/2064/2066/2069/2885",11
"R-HSA-9755511","R-HSA-9755511","KEAP1-NFE2L2 pathway","32/1871","113/11287",0.283185840707965,1.7083477199737,3.37330088586855,0.0011628234484445,0.00611089270781605,0.00611089270781605,"81631/207/79594/5693/5704/10061/4609/1026/5714/208/8878/5717/8945/4851/55666/6667/5688/23657/5707/2033/598/5705/7311/4363/83667/596/1029/11047/5684/1457/9861/672",32
"R-HSA-5654738","R-HSA-5654738","Signaling by FGFR2","23/1871","73/11287",0.315068493150685,1.900683101118,3.44133427854481,0.00118171969161867,0.00611089270781605,0.00611089270781605,"10253/867/3187/3845/2255/3185/4670/4893/5432/22916/5441/10818/5725/5781/5295/5594/3178/673/7311/2962/5595/2885/5515",23
"R-HSA-5693616","R-HSA-5693616","Presynaptic phase of homologous DNA pairing and strand exchange","15/1871","40/11287",0.375,2.26222608230893,3.56469592752224,0.00118584879812315,0.00611089270781605,0.00611089270781605,"472/5984/5932/641/5888/1111/6118/6117/80010/5985/675/9156/4361/580/672",15
"R-HSA-9013420","R-HSA-9013420","RHOU GTPase cycle","15/1871","40/11287",0.375,2.26222608230893,3.56469592752224,0.00118584879812315,0.00611089270781605,0.00611089270781605,"998/9146/10298/4646/6711/5296/5295/1969/9231/5062/9815/9352/2885/23380/5058",15
"R-HSA-5674135","R-HSA-5674135","MAP2K and MAPK activation","15/1871","40/11287",0.375,2.26222608230893,3.56469592752224,0.00118584879812315,0.00611089270781605,0.00611089270781605,"54756/5894/7529/3845/7094/5908/4893/5906/60/5594/673/71/5595/409/8844",15
"R-HSA-9678108","R-HSA-9678108","SARS-CoV-1 Infection","38/1871","141/11287",0.269503546099291,1.62580787002816,3.33322591123548,0.00118877316841209,0.00611089270781605,0.00611089270781605,"4088/54956/6210/81631/6201/7529/7841/861/5479/114548/6204/100526767/7531/5478/4869/7534/1915/6218/64398/6667/6187/51652/4089/6222/10971/2033/598/6188/3178/7311/79668/6192/57506/6203/6227/5170/3838/857",38
"R-HSA-9612973","R-HSA-9612973","Autophagy","42/1871","160/11287",0.2625,1.58355825761625,3.31381956721915,0.00119639781957598,0.00611089270781605,0.00611089270781605,"8897/7431/81631/55054/10533/137492/472/3320/6035/79065/10226/8878/7248/7332/100526767/401505/10381/8408/1915/2034/51652/79720/64419/3326/1783/2475/9927/7311/10376/9821/9474/58528/5562/64121/140735/5116/7323/22863/1457/56270/1080/5071",42
"R-HSA-8875360","R-HSA-8875360","InlB-mediated entry of Listeria monocytogenes into host cell","8/1871","15/11287",0.533333333333333,3.21738820595047,3.83054496342515,0.0012016198537991,0.00611089270781605,0.00611089270781605,"867/9146/2060/6455/7311/4233/2885/30011",8
"R-HSA-9703648","R-HSA-9703648","Signaling by FLT3 ITD and TKD mutants","8/1871","15/11287",0.533333333333333,3.21738820595047,3.83054496342515,0.0012016198537991,0.00611089270781605,0.00611089270781605,"3845/1026/4893/5781/5295/598/6777/2885",8
"R-HSA-203615","R-HSA-203615","eNOS activation","8/1871","15/11287",0.533333333333333,3.21738820595047,3.83054496342515,0.0012016198537991,0.00611089270781605,0.00611089270781605,"207/3320/23576/4836/10434/808/801/857",8
"R-HSA-5637810","R-HSA-5637810","Constitutive Signaling by EGFRvIII","8/1871","15/11287",0.533333333333333,3.21738820595047,3.83054496342515,0.0012016198537991,0.00611089270781605,0.00611089270781605,"867/11140/3845/3320/4893/1956/5295/2885",8
"R-HSA-5637812","R-HSA-5637812","Signaling by EGFRvIII in Cancer","8/1871","15/11287",0.533333333333333,3.21738820595047,3.83054496342515,0.0012016198537991,0.00611089270781605,0.00611089270781605,"867/11140/3845/3320/4893/1956/5295/2885",8
"R-HSA-170968","R-HSA-170968","Frs2-mediated activation","7/1871","12/11287",0.583333333333333,3.51901835025833,3.89168222494478,0.00124152331644108,0.00625843917410648,0.00625843917410648,"2889/7529/5906/10818/5594/673/5595",7
"R-HSA-9673767","R-HSA-9673767","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","7/1871","12/11287",0.583333333333333,3.51901835025833,3.89168222494478,0.00124152331644108,0.00625843917410648,0.00625843917410648,"3845/4893/5296/6774/5295/6772/2885",7
"R-HSA-9673770","R-HSA-9673770","Signaling by PDGFRA extracellular domain mutants","7/1871","12/11287",0.583333333333333,3.51901835025833,3.89168222494478,0.00124152331644108,0.00625843917410648,0.00625843917410648,"3845/4893/5296/6774/5295/6772/2885",7
"R-HSA-168164","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","30/1871","105/11287",0.285714285714286,1.72360082461632,3.32053185158135,0.00139929197006647,0.00701343615596813,0.00701343615596813,"6416/4205/9252/5608/9261/148022/5606/79155/4791/3146/8945/6197/7157/5599/6195/3654/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/7323/23118/2002/5515",30
"R-HSA-156842","R-HSA-156842","Eukaryotic Translation Elongation","26/1871","87/11287",0.298850574712644,1.80284683954121,3.35086559850311,0.00139943273645768,0.00701343615596813,0.00701343615596813,"6210/6157/6134/6201/6204/6146/6136/6142/1915/6218/6154/6187/6147/6222/1938/6132/6188/6124/6133/7311/6122/6192/6203/6227/6176/1933",26
"R-HSA-9665686","R-HSA-9665686","Signaling by ERBB2 TMD/JMD mutants","10/1871","22/11287",0.454545454545455,2.74209222098052,3.64578098648493,0.00143695688516522,0.00718061933340535,0.00718061933340535,"11140/3845/3320/4893/1956/1839/2064/2066/2069/2885",10
"R-HSA-1500620","R-HSA-1500620","Meiosis","33/1871","119/11287",0.277310924369748,1.67290668271584,3.28938199729759,0.00144930240179767,0.00722137959739647,0.00722137959739647,"10735/23353/8243/472/333932/29893/8357/3021/8338/5932/9126/641/5888/84057/6118/55732/6117/8351/85236/8331/1019/675/23224/4361/8358/554313/3017/8337/8370/672/4001/8349/8343",33
"R-HSA-180746","R-HSA-180746","Nuclear import of Rev protein","13/1871","33/11287",0.393939393939394,2.37647992484978,3.52977553097041,0.00147381526464123,0.0073223559545864,0.0073223559545864,"81929/23225/4869/9818/5901/9883/79023/53371/8086/348995/5903/1104/8021",13
"R-HSA-166166","R-HSA-166166","MyD88-independent TLR4 cascade","31/1871","110/11287",0.281818181818182,1.70009717700792,3.28901410047022,0.00150028488797475,0.00741114941796124,0.00741114941796124,"6416/4205/9252/5608/9261/148022/5606/79155/4791/3146/8945/6197/7157/5599/6195/3654/5781/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/7323/23118/2002/5515",31
"R-HSA-937061","R-HSA-937061","TRIF (TICAM1)-mediated TLR4 signaling","31/1871","110/11287",0.281818181818182,1.70009717700792,3.28901410047022,0.00150028488797475,0.00741114941796124,0.00741114941796124,"6416/4205/9252/5608/9261/148022/5606/79155/4791/3146/8945/6197/7157/5599/6195/3654/5781/351/1432/3551/5594/7311/1848/5595/1385/1386/5519/7323/23118/2002/5515",31
"R-HSA-156902","R-HSA-156902","Peptide chain elongation","25/1871","83/11287",0.301204819277108,1.81704906209552,3.33023072786487,0.00151681271816384,0.00747138607461275,0.00747138607461275,"6210/6157/6134/6201/6204/6146/6136/6142/1915/6218/6154/6187/6147/6222/1938/6132/6188/6124/6133/7311/6122/6192/6203/6227/6176",25
"R-HSA-9943411","R-HSA-9943411","CHD1 and CHD2 subfamily","29/1871","101/11287",0.287128712871287,1.73213350196591,3.29448285340597,0.00153322829336626,0.00753072814177618,0.00753072814177618,"10262/23451/333932/8357/23450/10523/3021/8338/10291/11198/6925/9646/8351/85236/11325/6628/8331/9879/10992/6634/8358/554313/3017/8337/8370/6749/8349/1665/8343",29
"R-HSA-201722","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","27/1871","92/11287",0.293478260869565,1.77043780354612,3.30744888382276,0.00154140433037785,0.00754937802719151,0.00754937802719151,"6934/4609/333932/8357/3021/8338/7088/8295/7091/864/5929/7015/51176/8351/8607/2033/85236/8331/283149/9757/8358/554313/3017/8337/8370/8349/8343",27
"R-HSA-1168372","R-HSA-1168372","Downstream signaling events of B Cell Receptor (BCR)","22/1871","70/11287",0.314285714285714,1.89596090707796,3.35176385006853,0.00155241660523225,0.00758177401535524,0.00758177401535524,"3845/5693/5704/5714/4893/5478/5717/8945/5688/3551/5707/4772/5705/7311/10892/808/11047/5684/801/5966/5530/9861",22
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","28/1871","97/11287",0.288659793814433,1.74136990528247,3.26873315574238,0.00167848033737045,0.0081742940723917,0.0081742940723917,"10952/5693/5704/3105/5714/948/9341/4012/3146/5696/811/5717/695/2923/5688/3551/5707/5705/7311/114609/8673/11047/5684/7097/9861/3107/29927/3135",28
