"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9027284","R-HSA-9027284","Erythropoietin activates RAS","9/2421","14/11287",0.642857142857143,2.99707912904939,3.90699712406933,0.000656736881902622,0.0102928580400011,0.0074592432101413,"3265/2057/7409/3717/4893/1399/2056/2885/3845",9
"R-HSA-912631","R-HSA-912631","Regulation of signaling by CBL","12/2421","22/11287",0.545454545454545,2.54297623070857,3.78537171321541,0.000678440107633685,0.0105372139239682,0.00763632813264352,"6233/5291/7409/1398/5295/1399/7314/5293/2885/29760/7525/2534",12
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","51/2421","156/11287",0.326923076923077,1.52415562545674,3.4447603461788,0.000688779279067684,0.010602281045649,0.00768348233254742,"7157/1029/5170/64769/2475/83990/6233/3065/79813/472/5571/51616/25946/94241/90809/79109/6875/11200/79837/7874/207/639/6117/1432/4193/8148/983/387893/9212/8851/6880/5562/3622/8445/54815/5515/672/6119/6884/2033/80010/7314/1017/1111/5565/204851/5457/9891/4194/1457/5527",51
"R-HSA-166058","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","39/2421","112/11287",0.348214285714286,1.62341786156842,3.4647191840263,0.000735651212210527,0.011125111314482,0.0080623778849482,"7157/5604/6233/7189/6416/351/6279/3146/9097/4214/4208/1386/5528/1432/5599/7099/11274/9683/7096/28511/4790/841/10454/1846/3656/5515/948/1848/1845/7314/6271/3725/1849/6885/2353/5609/57161/6195/1385",39
"R-HSA-168188","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","39/2421","112/11287",0.348214285714286,1.62341786156842,3.4647191840263,0.000735651212210527,0.011125111314482,0.0080623778849482,"7157/5604/6233/7189/6416/351/6279/3146/9097/4214/4208/1386/5528/1432/5599/7099/11274/9683/7096/28511/4790/841/10454/1846/3656/5515/948/1848/1845/7314/6271/3725/1849/6885/2353/5609/57161/6195/1385",39
"R-HSA-9006335","R-HSA-9006335","Signaling by Erythropoietin","13/2421","25/11287",0.52,2.42430400660884,3.725362109085,0.000742488418569453,0.0111308698575108,0.00806655110610996,"5291/3265/2057/5294/7409/3717/4893/5295/1399/2056/5293/2885/3845",13
"R-HSA-9634815","R-HSA-9634815","Transcriptional Regulation by NPAS4","16/2421","34/11287",0.470588235294118,2.19394027747406,3.64327083010813,0.000779464110669015,0.0115844493689085,0.00839526057412204,"6722/1387/7514/192669/9915/4193/2669/10135/8851/27327/5979/5978/27161/23112/26523/2353",16
"R-HSA-195253","R-HSA-195253","Degradation of beta-catenin by the destruction complex","27/2421","70/11287",0.385714285714286,1.79824747742963,3.50067480648791,0.00081060548104205,0.0119443064044145,0.00865604928200939,"139285/54764/6233/5529/1499/3065/5700/1487/5704/5706/6934/5528/5684/5695/5689/5515/7091/11047/7314/1452/51176/5713/324/7979/2932/23401/5527",27
"R-HSA-927802","R-HSA-927802","Nonsense-Mediated Decay (NMD)","38/2421","109/11287",0.348623853211009,1.62532731565166,3.4280105557078,0.000833187246865243,0.0120707127192914,0.00874765604878888,"6201/6137/6170/6233/6168/6158/9939/26986/6192/6128/9045/6167/6231/6122/6157/6176/5520/65109/23708/6187/5515/6206/9775/2107/6175/23049/23293/6133/6159/6189/6152/23521/6234/55802/22794/6229/6136/4686",38
"R-HSA-975957","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","38/2421","109/11287",0.348623853211009,1.62532731565166,3.4280105557078,0.000833187246865243,0.0120707127192914,0.00874765604878888,"6201/6137/6170/6233/6168/6158/9939/26986/6192/6128/9045/6167/6231/6122/6157/6176/5520/65109/23708/6187/5515/6206/9775/2107/6175/23049/23293/6133/6159/6189/6152/23521/6234/55802/22794/6229/6136/4686",38
"R-HSA-196299","R-HSA-196299","Beta-catenin phosphorylation cascade","10/2421","17/11287",0.588235294117647,2.74242534684258,3.75681869973416,0.000879352351648694,0.0126086560982324,0.00913750408528288,"139285/5529/1499/5528/5515/1452/324/2932/23401/5527",10
"R-HSA-168255","R-HSA-168255","Influenza Infection","49/2421","150/11287",0.326666666666667,1.52296020927991,3.3692537441525,0.000884946280676404,0.0126086560982324,0.00913750408528288,"9972/6201/6137/6170/6233/6168/6158/9688/3837/23511/7514/6192/6128/9045/5903/348995/6167/8480/55706/6231/5610/3836/6122/6157/6176/5435/6187/5437/6206/5434/79023/6175/142/11097/6133/1211/6159/5436/6189/10762/6152/23521/23165/3838/6234/6229/6136/811/7040",49
"R-HSA-2173789","R-HSA-2173789","TGF-beta receptor signaling activates SMADs","20/2421","47/11287",0.425531914893617,1.98388216580101,3.53193267071847,0.000901651399830931,0.0127413689615453,0.00923368121322129,"2280/4089/6233/3690/4092/9958/7514/9110/7048/5501/7046/5499/4087/2200/10273/7314/7049/23645/5045/7040",20
"R-HSA-430116","R-HSA-430116","GP1b-IX-V activation signalling","8/2421","12/11287",0.666666666666667,3.10808205975492,3.81789002480026,0.000949202673311457,0.0130914032703116,0.0094873513824624,"5894/2316/5295/2815/2812/1278/7534/6714",8
"R-HSA-9673767","R-HSA-9673767","Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants","8/2421","12/11287",0.666666666666667,3.10808205975492,3.81789002480026,0.000949202673311457,0.0130914032703116,0.0094873513824624,"5291/3265/6774/4893/5295/5156/2885/3845",8
"R-HSA-9673770","R-HSA-9673770","Signaling by PDGFRA extracellular domain mutants","8/2421","12/11287",0.666666666666667,3.10808205975492,3.81789002480026,0.000949202673311457,0.0130914032703116,0.0094873513824624,"5291/3265/6774/4893/5295/5156/2885/3845",8
"R-HSA-3769402","R-HSA-3769402","Deactivation of the beta-catenin transactivating complex","19/2421","44/11287",0.431818181818182,2.01318951597762,3.51867758457137,0.000970928278041,0.0132847646931959,0.00962748057448541,"9757/6233/1499/3065/7514/1487/207/6659/6934/6657/7091/25776/6658/7314/331/51176/324/4221/7534",19
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","27/2421","71/11287",0.380281690140845,1.77292004817006,3.41388038673042,0.00104459479649648,0.0141801687335428,0.0102763806644637,"5604/6233/7189/6416/84818/4208/1386/64806/5528/1432/5599/55540/4790/10454/1846/3656/5515/1848/1845/7314/3725/1849/6885/2353/5609/6195/1385",27
"R-HSA-5693606","R-HSA-5693606","DNA Double Strand Break Response","29/2421","78/11287",0.371794871794872,1.73335345640178,3.39610230208038,0.00105628978276585,0.0142269030116275,0.0103102490366038,"7157/3014/8970/8467/8367/6233/554313/472/8314/8363/8347/9682/29086/121504/11200/8359/5599/7329/8346/51588/25/672/8349/7314/8370/3838/85236/165918/7336",29
"R-HSA-9607240","R-HSA-9607240","FLT3 Signaling","17/2421","38/11287",0.447368421052632,2.08568664536186,3.50302220217567,0.00109997959696649,0.0143781771631198,0.0104198775462951,"1027/6233/5795/3265/10019/207/2309/4893/5295/1445/9306/9846/7314/2885/27/3845/2534",17
"R-HSA-9675126","R-HSA-9675126","Diseases of mitotic cell cycle","17/2421","38/11287",0.447368421052632,2.08568664536186,3.50302220217567,0.00109997959696649,0.0143781771631198,0.0104198775462951,"27338/1871/1021/119504/1019/1027/595/7324/5925/9134/1017/51343/898/1870/64682/1026/894",17
