"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","98/2421","296/11287",0.331081081081081,1.54354075264856,4.9517979673177,1.68350553003841e-06,0.000161242418543679,0.000116852521528468,"8367/3725/27327/3480/9682/8970/3065/1387/865/9687/2773/8337/6257/5166/861/2782/8359/5105/6722/5434/121504/5914/8363/4609/23112/5435/19/904/4602/8050/8850/2353/595/3021/858/51109/6387/5436/3845/5451/1105/7528/2958/2783/8346/2033/55970/3265/3169/5295/85236/6667/2309/1956/8349/4893/1385/554313/808/207/7514/5885/1025/1382/8370/56603/8877/596/2784/6714/2354/2771/5161/3838/2194/10274/1386/2957/26523/5170/2099/3014/5469/8347/27161/1509/1027/10681/55625/3727/9612/5437/4313/5163/4314/857/10123/192669",98
"R-HSA-9755511","R-HSA-9755511","KEAP1-NFE2L2 pathway","46/2421","113/11287",0.407079646017699,1.89785541701849,5.01238993976563,2.63280078342385e-06,0.000238892028980143,0.000173125262021667,"7314/1457/9817/6347/1387/672/5684/6233/10061/2539/9429/571/5689/4609/4780/2936/4097/7979/2938/4790/5580/27244/7415/2033/3162/5700/6667/9451/139285/4363/5695/5706/7086/4851/2932/23657/207/7975/5704/596/1029/83667/11047/7296/5713/1026",46
"R-HSA-9730414","R-HSA-9730414","MITF-M-regulated melanocyte development","58/2421","154/11287",0.376623376623377,1.75586454025116,4.93516618951022,2.85169416152582e-06,0.000245816036723526,0.000178143096479898,"27327/3065/89780/7533/1387/672/994/4171/4233/7020/23112/6599/23405/3397/999/4644/595/523/891/7534/23411/9275/2033/1499/3673/6657/1017/7942/727936/6934/8110/5873/5859/51176/1385/8289/2932/1906/7514/3662/3978/1432/596/6603/1029/4308/6605/605/26523/27161/529/7329/9114/7531/6195/8193/192669/1026",58
"R-HSA-2559585","R-HSA-2559585","Oncogene Induced Senescence","19/2421","33/11287",0.575757575757576,2.68425268797016,5.06307450073077,6.54969105223866e-06,0.000537209122079,0.000389315919904917,"27327/7314/2113/1032/6233/23112/3397/1870/1019/4194/6667/4193/1871/1029/26523/1021/5925/7157/192669",19
"R-HSA-5357801","R-HSA-5357801","Programmed Cell Death","69/2421","197/11287",0.350253807106599,1.63292636134332,4.68299914619716,6.85533682467401e-06,0.000537209122079,0.000389315919904917,"100526767/7314/8743/7533/28988/8473/1612/8837/5684/6233/54205/1687/3146/5689/8795/10273/115209/842/7979/27113/999/840/79643/90427/3836/5580/51652/3837/7534/91782/1499/5700/6386/56616/5599/3007/4001/2319/5695/5706/837/356/7082/207/51765/841/5704/5534/637/331/6774/5366/596/836/578/324/839/1029/2620/581/7099/5071/11047/7431/2810/7332/7531/5713/7157",69
"R-HSA-170834","R-HSA-170834","Signaling by TGF-beta Receptor Complex","39/2421","94/11287",0.414893617021277,1.93428511165599,4.75306394746627,8.70237204628154e-06,0.000649745293259775,0.000470870981435272,"387/7314/3690/3065/6497/5499/6233/5501/7049/7046/1024/4609/10273/904/3726/142/9110/6498/2200/23439/1278/4221/2033/57530/4087/6667/7514/1025/4089/4092/5045/9958/8239/9612/54778/2280/7048/23645/7040",39
"R-HSA-9031628","R-HSA-9031628","NGF-stimulated transcription","21/2421","39/11287",0.538461538461538,2.51037397134051,4.93722246695662,9.04517809642378e-06,0.000649745293259775,0.000470870981435272,"23237/1960/6722/8061/3397/3726/10221/2353/2152/3398/2033/5978/1385/8851/7425/2354/1386/6938/3399/3727/4209",21
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","94/2421","292/11287",0.321917808219178,1.50082044666248,4.53084718103748,1.01657647018422e-05,0.000678019054969892,0.00049136100123752,"8367/57405/7314/119504/8970/5528/6119/7533/5905/672/81565/165918/898/11243/54821/4171/5684/6233/29086/5501/51588/472/8359/84515/5529/7324/64682/121504/5689/8363/5527/348995/7979/6249/10726/5515/401541/891/6117/983/7534/11200/80010/993/8346/7465/55166/1452/4176/4194/1111/5700/1017/85236/4193/23332/11130/5695/5706/8349/554313/7336/2932/7514/79172/83990/9134/5704/4172/25946/8370/1432/9793/4085/1783/25936/23594/1029/9212/79023/990/3014/5000/8347/11047/1027/2810/79019/7531/27338/5713/5903/7157/1026",94
"R-HSA-9018519","R-HSA-9018519","Estrogen-dependent gene expression","55/2421","149/11287",0.369127516778524,1.72091791899182,4.6289117603779,1.02253453765761e-05,0.000678019054969892,0.00049136100123752,"8367/3725/27327/8970/3065/1387/865/9687/8337/861/8359/5434/121504/8363/4609/23112/5435/904/4602/8850/2353/595/3021/6387/5436/5451/1105/7528/2958/8346/2033/3169/85236/6667/8349/554313/5885/1025/8370/596/2354/3838/10274/1386/2957/26523/2099/3014/5469/8347/27161/1509/3727/5437/192669",55
"R-HSA-4791275","R-HSA-4791275","Signaling by WNT in cancer","19/2421","34/11287",0.558823529411765,2.60530407950045,4.89853440464457,1.18670950455473e-05,0.000757735994760132,0.000549131937118758,"5528/8322/89780/7855/5529/5527/79412/5515/4040/8658/1452/1499/6934/139285/22943/2932/8323/324/1487",19
