"Symbol","logFC","logCPM","F","PValue","FDR"
"hsa-miR-92a-3p",1.84237399426247,15.5230215258731,9.36747210657948,0.00518231483000993,0.357579723270685
"hsa-miR-574-5p",-2.23038744617767,13.5856864094095,6.14772149022875,0.0199032086020127,0.525607123875454
"hsa-miR-222-3p",-2.22297362186188,13.0867944613779,5.84522027491373,0.0228524836467589,0.525607123875454
"hsa-miR-141-3p",-3.25249968500322,11.5492450462483,4.90117133969539,0.0340208471900714,0.586859614028732
"hsa-miR-23b-3p",2.08466957426129,12.3962881475336,4.16569151989885,0.0506304944694557,0.698700823678489
"hsa-miR-101-3p",1.90694820327072,13.0958984854004,3.53466474428796,0.070967449728404,0.816125671876646
"hsa-miR-378a-3p",1.43672917138331,13.095717089578,2.4913817155819,0.126485546376898,0.942874585183671
"hsa-miR-224-5p",1.84929057708893,12.1616765195797,2.47091303326721,0.12669895059322,0.942874585183671
"hsa-miR-30a-5p",-1.12889448978392,13.7973876718198,2.08898147196132,0.160487915688683,0.942874585183671
"hsa-miR-181a-5p",1.17974895653484,13.8818611415046,1.7658748565156,0.195566264805994,0.942874585183671
"hsa-miR-125b-5p",2.30948969421743,13.4885584475136,1.69630252278863,0.20808494231542,0.942874585183671
"hsa-miR-3168",-1.12168120650922,13.6744219692114,1.57815369652324,0.220424502294452,0.942874585183671
"hsa-miR-1290",0.930228633448934,15.8487535214588,1.56950933125394,0.221788567307796,0.942874585183671
"hsa-miR-19a-3p",1.38462980388815,12.2134419328269,1.34999071299271,0.25461042541049,0.942874585183671
"hsa-miR-451a",-0.722038488307513,15.5748358002102,1.27208929429755,0.270014663583952,0.942874585183671
"hsa-miR-15a-5p",1.37015706504927,11.788185868371,1.23632700948515,0.274891725326354,0.942874585183671
"hsa-miR-192-5p",-1.39793792650567,11.9008043476733,1.09033735442889,0.304630045988205,0.942874585183671
"hsa-miR-26a-5p",0.863858568445453,13.4629185136706,1.06012913193205,0.312784696435739,0.942874585183671
"hsa-miR-30d-5p",1.31171988028227,11.7781365360998,0.981310767986703,0.329656503774711,0.942874585183671
"hsa-miR-221-3p",-0.743720526870159,16.8538116498848,0.905579288354724,0.350332613096176,0.942874585183671
